Iteration,Visibility,Phase_Jitter,BitFlip,Noise,S_Value,is_Quantum_Advantage,is_Elite
101,0.86171896,40,0,0.1,2.828418621,1,1
102,0.959501716,27.02979554,0.019713168,0.1,2.828420338,1,1
103,0.915064114,30.22017472,0,0.1,2.828423612,1,1
104,1,39.71455272,0.013409005,0.1,2.82842438,1,1
105,0.934215213,36.65725079,0.016352798,0.1,2.828425575,1,1
106,0.992916793,19.41003852,0.057837977,0.1,2.828426951,1,1
107,0.868093624,26.7490444,0.005934122,0.1,2.828421204,1,1
108,0.883343385,25.10679567,0.000446927,0.1,2.828425665,1,1
109,1,31.19591841,0.006445307,0.1,2.82842555,1,1
110,0.761905528,16.49980865,0.012999348,0.1,2.828425585,1,1
111,0.944602056,12.84980653,0.008955524,0.1,2.828425331,1,1
112,0.982272948,21.59843761,0,0.1,2.828425258,1,1
113,0.667568753,18.39293147,0.012723672,0.1,2.828425389,1,1
114,1,0.484475786,0,0.1,2.828421159,1,1
115,1,0,0,0.1,2.828426677,1,1
116,1,0,0,0.1,2.828427042,1,1
117,1,6.667567986,0,0.1,2.828427079,1,1
118,1,15.65059544,0.017789652,0.1,2.828426467,1,1
119,0.946228069,1.889288088,0.01140396,0.1,2.82842573,1,1
120,0.896246043,0,0.012242383,0.1,2.828426944,1,1
121,0.918063397,0,0,0.1,2.828426968,1,1
122,1,12.09753715,0,0.1,2.828426695,1,1
123,1,10.18415659,0,0.1,2.828426988,1,1
124,1,15.16540575,0.040929547,0.1,2.828424354,1,1
125,0.967510352,8.048520817,0.009915416,0.1,2.828425292,1,1
126,0.906193832,12.04372609,0.017951025,0.1,2.828426219,1,1
127,1,13.50460616,0.029605786,0.1,2.828423845,1,1
128,0.979708466,20.22766702,0,0.1,2.8284228,1,1
129,0.894998435,17.53041111,0,0.1,2.82842376,1,1
130,1,14.68183186,0.04238126,0.1,2.828426925,1,1
131,1,23.13383325,0.016191025,0.1,2.828426695,1,1
132,1,14.31497201,0,0.1,2.828426371,1,1
133,0.930908512,19.36124795,0.019352529,0.1,2.828426556,1,1
134,0.92547509,10.37580144,0,0.1,2.828426909,1,1
135,0.961916185,15.931752,0,0.1,2.828425389,1,1
136,0.923292228,2.324597355,0,0.1,2.828421195,1,1
137,1,3.353098393,0.033124328,0.1,2.828426401,1,1
138,1,11.45457488,0,0.1,2.82842702,1,1
139,1,3.892440201,0.036914424,0.1,2.828426359,1,1
140,1,0,0,0.1,2.828426529,1,1
141,1,0,0,0.1,2.828424991,1,1
142,1,6.602215623,0,0.1,2.82842648,1,1
143,1,10.09102895,0.036419786,0.1,2.828424126,1,1
144,1,0,0,0.1,2.828426751,1,1
145,1,20.89087377,0.049728295,0.1,2.828426783,1,1
146,1,15.5007735,0.007869349,0.1,2.82842317,1,1
147,0.74890019,16.0315698,0.000621054,0.1,2.828426747,1,1
148,0.954660195,13.73628972,0,0.1,2.828425137,1,1
149,1,13.48418597,0.007581893,0.1,2.828425657,1,1
150,1,3.413651202,0,0.1,2.828426095,1,1
151,0.966917591,0,0.002515486,0.1,2.828426115,1,1
152,1,0,0,0.1,2.828426542,1,1
153,0.934260401,10.67265078,0.017567617,0.1,2.82842514,1,1
154,0.995898853,8.520516667,0.008350684,0.1,2.828425969,1,1
155,1,0,0,0.1,2.828425785,1,1
156,0.891002784,0,0,0.1,2.82842558,1,1
157,1,11.74350837,0,0.1,2.82842648,1,1
158,0.94853251,1.815087746,0,0.1,2.828420825,1,1
159,1,0,0,0.1,2.828426886,1,1
160,1,0,0,0.1,2.828426685,1,1
161,1,5.107994988,0,0.1,2.828426944,1,1
162,1,0,0,0.1,2.828426278,1,1
163,1,0,0,0.1,2.828427107,1,1
164,1,0,0,0.1,2.828426378,1,1
165,0.981275006,8.814925594,0.04084595,0.1,2.828427089,1,1
166,0.9717726,0,0.014635749,0.1,2.828426408,1,1
167,1,5.54274811,0.02783517,0.1,2.828426542,1,1
168,1,7.119956568,0.028187573,0.1,2.828425567,1,1
169,1,1.949006643,0.016857419,0.1,2.828425612,1,1
170,0.78074244,14.5844296,0.008482703,0.1,2.828427104,1,1
171,0.777655585,29.25501854,0.028138342,0.1,2.828410046,1,1
172,1,33.12698901,0,0.1,2.82842429,1,1
173,1,22.21955944,0,0.1,2.828426124,1,1
174,0.914272339,19.07396564,0,0.1,2.828422924,1,1
175,0.959569777,21.70802657,0,0.1,2.828425338,1,1
176,1,19.88614084,0.020415497,0.1,2.828426171,1,1
177,1,28.85110529,0,0.1,2.828425522,1,1
178,0.977222203,21.60188024,0.052159754,0.1,2.828426902,1,1
179,1,21.58962777,0.062530856,0.1,2.828426007,1,1
180,0.995615476,4.649886761,0.013399245,0.1,2.828423933,1,1
181,1,12.5415345,0.008378064,0.1,2.82842628,1,1
182,0.865035552,11.03894155,0,0.1,2.82842601,1,1
183,1,9.218263835,0.005296889,0.1,2.828426783,1,1
184,1,14.07991805,0.011276715,0.1,2.828419492,1,1
185,0.96070526,26.09392167,0.012340077,0.1,2.828425645,1,1
186,0.921601904,22.76497308,0.014040699,0.1,2.828408448,1,1
187,0.953374865,8.552668621,0.006837324,0.1,2.828422851,1,1
188,0.943333741,4.989346592,0,0.1,2.828426227,1,1
189,1,12.85057761,0,0.1,2.828426647,1,1
190,1,3.498632319,0,0.1,2.828426351,1,1
191,1,0,0.00520531,0.1,2.828424047,1,1
192,1,2.203563539,0,0.1,2.828426921,1,1
193,1,5.850943891,0,0.1,2.828426547,1,1
194,0.977928814,19.61156405,0.056627985,0.1,2.828425667,1,1
195,0.887595073,8.306837554,0.018388044,0.1,2.828425453,1,1
196,0.731338702,26.20066773,0,0.1,2.828426969,1,1
197,0.98530781,38.82568334,0,0.1,2.828421455,1,1
198,0.947084458,23.39146235,0.009972658,0.1,2.828420701,1,1
199,0.966365534,1.530957136,0.012619376,0.1,2.828422475,1,1
200,1,0,0.030003484,0.1,2.828426935,1,1
201,1,0,0.010703067,0.1,2.828427102,1,1
202,1,10.67830195,0.03170425,0.1,2.828426789,1,1
203,1,14.77288717,0,0.1,2.828422928,1,1
204,0.816408496,11.96756915,0,0.1,2.828425901,1,1
205,0.869750869,4.670154166,2.65054568828026e-05,0.1,2.828426154,1,1
206,0.994741173,23.55546842,0.007532084,0.1,2.828425699,1,1
207,1,16.07523998,0.008474008,0.1,2.82842263,1,1
208,0.928257213,13.91866323,0.025884642,0.1,2.828426109,1,1
209,1,32.86106323,0,0.1,2.828426943,1,1
210,0.794233099,24.14551981,0.001883601,0.1,2.828426106,1,1
211,1,12.21187618,0.020797673,0.1,2.828422706,1,1
212,1,24.11546419,0,0.1,2.828415796,1,1
213,1,26.36517209,0.002701041,0.1,2.828427078,1,1
214,0.883531535,25.80870729,0.01111649,0.1,2.82842538,1,1
215,0.975840972,11.66577941,0,0.1,2.828421148,1,1
216,1,4.802131889,0,0.1,2.82842711,1,1
217,0.996227013,0.939061044,0.004557091,0.1,2.828425789,1,1
218,1,0,0,0.1,2.828426157,1,1
219,0.922968608,30.74482795,0.002835445,0.1,2.828427057,1,1
220,0.869119608,12.98118171,0.000626782,0.1,2.828422617,1,1
221,1,10.78359694,0,0.1,2.82842398,1,1
222,0.834047313,20.33419193,0.034904405,0.1,2.828426682,1,1
223,1,12.06179616,0,0.1,2.828424691,1,1
224,1,0,0,0.1,2.828426322,1,1
225,1,0,0.021392812,0.1,2.828423623,1,1
226,0.906183897,1.658637808,0.007597656,0.1,2.828425425,1,1
227,0.9414835,13.35311768,0,0.1,2.82842574,1,1
228,0.940982189,1.532948193,0.010601771,0.1,2.828426995,1,1
229,0.89721569,7.82216113,0.013558899,0.1,2.82842124,1,1
230,1,0,0.014454672,0.1,2.828426797,1,1
231,1,0,0,0.1,2.828426045,1,1
232,0.999454337,0,0,0.1,2.828426273,1,1
233,0.969610515,4.650708493,0.019618749,0.1,2.828425714,1,1
234,1,0,0,0.1,2.828425478,1,1
235,1,2.15026319,0.006542729,0.1,2.828426854,1,1
236,1,0,0.017904831,0.1,2.828425605,1,1
237,0.978889551,9.166990688,0.0283076,0.1,2.828425556,1,1
238,1,20.67324324,0,0.1,2.828426375,1,1
239,1,15.42798413,0,0.1,2.828426361,1,1
240,0.964942922,10.44545332,0.02070001,0.1,2.828426135,1,1
241,1,17.00933151,0,0.1,2.828425004,1,1
242,1,23.63889358,0,0.1,2.828426566,1,1
243,1,19.96643978,0,0.1,2.828426618,1,1
244,0.867130892,25.23714165,0,0.1,2.828423523,1,1
245,1,15.31188703,0.027843202,0.1,2.828426775,1,1
246,0.807827391,17.55243333,0.018832497,0.1,2.828426476,1,1
247,1,9.62963987,0,0.1,2.828424599,1,1
248,1,7.935343489,0,0.1,2.828425937,1,1
249,0.958900207,0,0,0.1,2.828425291,1,1
250,0.947603041,0,0.006242669,0.1,2.828426307,1,1
251,1,0,0,0.1,2.828423315,1,1
252,0.989113038,0,0,0.1,2.828426865,1,1
253,0.760518062,32.95636939,0.018278705,0.1,2.828425881,1,1
254,0.900741465,2.36770632,0.012521755,0.1,2.828422039,1,1
255,0.903707417,24.29879235,0.05451643,0.1,2.828425065,1,1
256,0.859588631,18.38885358,0.019588196,0.1,2.828417922,1,1
257,0.971655588,16.44025433,0.00327969,0.1,2.828426444,1,1
258,0.97877483,13.40531233,0.018640567,0.1,2.828426744,1,1
259,1,0,0,0.1,2.828424497,1,1
260,0.809003028,6.019459536,0.016274428,0.1,2.828426195,1,1
261,0.989301617,3.655992668,0.019693966,0.1,2.82842341,1,1
262,1,0,0.006297467,0.1,2.828423658,1,1
263,1,0,0,0.1,2.828426815,1,1
264,0.94437597,0,0,0.1,2.828426463,1,1
265,1,0.596354148,0.001847693,0.1,2.828426442,1,1
266,1,5.41401668,0,0.1,2.828426565,1,1
267,1,5.032200155,0.043895282,0.1,2.828426062,1,1
268,0.937497005,10.53475195,0.044419617,0.1,2.828424919,1,1
269,0.83360292,32.90208793,0.024141868,0.1,2.828426274,1,1
270,1,14.41941551,0.035934348,0.1,2.828425448,1,1
271,1,12.10282757,0.005615317,0.1,2.828426321,1,1
272,1,3.500572136,0.011879606,0.1,2.828424155,1,1
273,1,0,0.010791114,0.1,2.828426614,1,1
274,0.988801838,0,0,0.1,2.828423819,1,1
275,1,0,0.010173393,0.1,2.828426477,1,1
276,0.898421603,1.637677326,0.003285657,0.1,2.828426252,1,1
277,1,0,0,0.1,2.828426967,1,1
278,0.945214942,1.75264966,0,0.1,2.828426307,1,1
279,0.958615717,7.317515415,0,0.1,2.828423639,1,1
280,0.935710949,10.18938701,0,0.1,2.828426752,1,1
281,1,1.610049772,0,0.1,2.828426757,1,1
282,1,13.93081023,0.022598938,0.1,2.828427036,1,1
283,1,3.029846574,0,0.1,2.828423756,1,1
284,0.959881411,27.82744014,0.060758502,0.1,2.82842595,1,1
285,1,24.71876375,0.061812518,0.1,2.828426817,1,1
286,0.965020916,9.299139812,0.029025675,0.1,2.82842384,1,1
287,1,14.25700328,0,0.1,2.82842431,1,1
288,1,11.50203279,0,0.1,2.828424872,1,1
289,1,0,0,0.1,2.828426796,1,1
290,1,10.44175944,0.000607619,0.1,2.828426081,1,1
291,1,7.189674299,0.012632594,0.1,2.828425517,1,1
292,1,2.851826622,0,0.1,2.828426562,1,1
293,1,0,0.015347028,0.1,2.828426486,1,1
294,1,0.556114806,0,0.1,2.828426349,1,1
295,0.973482097,0,0.02425769,0.1,2.828426863,1,1
296,0.876242931,0.919255312,0.006696256,0.1,2.82842591,1,1
297,1,9.212072438,0,0.1,2.828427071,1,1
298,1,3.418799894,0,0.1,2.828426486,1,1
299,1,0.725709286,0,0.1,2.828425575,1,1
300,1,2.985945459,0,0.1,2.828426117,1,1
301,1,0,0.014678736,0.1,2.828426915,1,1
302,1,1.5537257,0,0.1,2.828426524,1,1
303,1,0,0,0.1,2.82842622,1,1
304,1,10.76575501,0.006859114,0.1,2.828426227,1,1
305,1,10.26748041,0,0.1,2.828422064,1,1
306,0.849099928,14.35601883,0,0.1,2.828426296,1,1
307,1,16.02284813,0,0.1,2.828423171,1,1
308,0.966279992,7.077476939,0.006063186,0.1,2.828426575,1,1
309,1,6.766918336,0,0.1,2.828425865,1,1
310,0.865423257,7.062781313,0.021962769,0.1,2.828423489,1,1
311,1,26.19945882,0.049963056,0.1,2.828426068,1,1
312,1,20.38054855,0.036913122,0.1,2.828425829,1,1
313,0.871583055,29.61543673,0.022832217,0.1,2.828421024,1,1
314,1,29.14276486,0.022036547,0.1,2.828424468,1,1
315,0.977376102,31.9354585,0.015366667,0.1,2.828426529,1,1
316,0.953953098,29.63484564,0,0.1,2.828417048,1,1
317,0.858500659,18.7123182,0.015493108,0.1,2.828424999,1,1
318,1,22.1039279,0.045124092,0.1,2.828423821,1,1
319,0.928055705,16.58376261,0.024397581,0.1,2.828427042,1,1
320,1,11.00344088,0.03560333,0.1,2.828424598,1,1
321,1,12.29832573,0.067422339,0.1,2.828426753,1,1
322,1,13.71229598,0.0285895,0.1,2.82841366,1,1
323,0.861498624,22.1534739,0.010121331,0.1,2.828425883,1,1
324,0.853559106,28.85796533,0.029629944,0.1,2.828427032,1,1
325,0.987964772,30.846211,0.013841294,0.1,2.828421235,1,1
326,0.976076659,9.949581657,0.030774058,0.1,2.828420086,1,1
327,0.926540583,9.947980071,0.029534969,0.1,2.828426387,1,1
328,1,13.86620017,0.003475695,0.1,2.828427068,1,1
329,1,5.507421118,0.021132447,0.1,2.828425159,1,1
330,1,12.72057628,0,0.1,2.828426372,1,1
331,1,6.402352215,0,0.1,2.828422997,1,1
332,1,8.548862386,0.030634768,0.1,2.828426814,1,1
333,0.87489388,7.506623762,0.00736993,0.1,2.828425499,1,1
334,1,5.422568594,0.017334075,0.1,2.828422013,1,1
335,1,4.787000087,0.000921326,0.1,2.828425936,1,1
336,0.974165059,17.99562719,0.008588661,0.1,2.828425963,1,1
337,0.813360982,23.06433341,0,0.1,2.828425623,1,1
338,0.936399118,13.15168609,0,0.1,2.828421033,1,1
339,0.948785185,6.475066982,0.004092963,0.1,2.828426038,1,1
340,0.705376317,13.71411758,0,0.1,2.828420427,1,1
341,1,9.456829639,0.029304002,0.1,2.828424356,1,1
342,1,14.48358849,0.021682701,0.1,2.828427048,1,1
343,1,10.52603682,0.008342562,0.1,2.828423165,1,1
344,1,3.302028652,0.016069774,0.1,2.828427081,1,1
345,1,10.42441174,0,0.1,2.828426805,1,1
346,1,2.999543474,0,0.1,2.828426929,1,1
347,0.855383598,19.2375027,0,0.1,2.828427013,1,1
348,0.926674752,9.598167875,0.025741342,0.1,2.828426125,1,1
349,1,3.756666474,0.001160453,0.1,2.828423043,1,1
350,1,0,0,0.1,2.828425382,1,1
351,1,0,0.020746304,0.1,2.828426682,1,1
352,0.982425651,9.161374018,0,0.1,2.828425868,1,1
353,0.955330014,0.715945902,0,0.1,2.828426683,1,1
354,0.993902025,0,0,0.1,2.828425879,1,1
355,1,0,0,0.1,2.828426257,1,1
356,0.930640132,9.183919222,0.011120248,0.1,2.828426659,1,1
357,1,13.38944009,0.00168814,0.1,2.828426804,1,1
358,1,1.734587776,0,0.1,2.828426471,1,1
359,0.982558005,0,0,0.1,2.828426761,1,1
360,0.903771202,8.475477619,0,0.1,2.828426605,1,1
361,1,12.18459764,0,0.1,2.828420222,1,1
362,1,10.55189122,0.008528649,0.1,2.828423388,1,1
363,1,6.690874502,0.018352692,0.1,2.828426395,1,1
364,1,11.20820529,0.03170547,0.1,2.828426823,1,1
365,0.854074361,10.9558545,0.027493201,0.1,2.828423933,1,1
366,1,11.87822741,0.058726965,0.1,2.828421211,1,1
367,1,11.80433394,0.041336028,0.1,2.828426571,1,1
368,1,12.91213449,0.028386608,0.1,2.828420501,1,1
369,0.88008491,16.63712152,0,0.1,2.828425341,1,1
370,1,15.09901333,0.014445986,0.1,2.828425483,1,1
371,1,5.202406594,0,0.1,2.828422807,1,1
372,1,13.32456735,0.021810954,0.1,2.828424932,1,1
373,0.982672148,14.3665392,0.040809705,0.1,2.828425769,1,1
374,1,11.20718725,0.007862554,0.1,2.828425706,1,1
375,1,1.412845613,0,0.1,2.828419321,1,1
376,1,2.401556733,0.009208746,0.1,2.828425718,1,1
377,1,0,0,0.1,2.828426733,1,1
378,1,0,0,0.1,2.828426641,1,1
379,1,0,0,0.1,2.828426933,1,1
380,0.77814141,8.865133633,0,0.1,2.828426695,1,1
381,0.88036877,10.42140521,0,0.1,2.828426684,1,1
382,1,2.381710892,0,0.1,2.828425578,1,1
383,1,7.976635932,0,0.1,2.828426704,1,1
384,1,4.738911191,0.003818853,0.1,2.828426965,1,1
385,0.910676096,16.54639368,0.025818978,0.1,2.828427056,1,1
386,0.969712921,21.75687323,0.000783624,0.1,2.828422754,1,1
387,1,21.02953665,0.008385441,0.1,2.828418923,1,1
388,0.950073544,10.16317495,0.033120229,0.1,2.828423752,1,1
389,1,11.20180793,0,0.1,2.828425317,1,1
390,1,2.475537318,0,0.1,2.828426531,1,1
391,1,0.990464095,0,0.1,2.828425009,1,1
392,1,0,0,0.1,2.828426803,1,1
393,0.863394761,1.004558949,0,0.1,2.828426731,1,1
394,1,0,0,0.1,2.828426777,1,1
395,1,5.028313213,0,0.1,2.828424796,1,1
396,1,0,0,0.1,2.828426834,1,1
397,1,0,0,0.1,2.828426808,1,1
398,0.984623359,0,0,0.1,2.828427073,1,1
399,1,1.018817841,0.009393706,0.1,2.828427029,1,1
400,1,0.230749463,0,0.1,2.828426414,1,1
401,0.857723468,1.910803005,0,0.1,2.828426222,1,1
402,1,0,0,0.1,2.828426034,1,1
403,1,0,0,0.1,2.828425983,1,1
404,1,0,0,0.1,2.828423129,1,1
405,1,0,0,0.1,2.828424606,1,1
406,1,8.445315118,0,0.1,2.828427118,1,1
407,0.93265091,4.313583447,0,0.1,2.828425881,1,1
408,1,0,0.005898963,0.1,2.828425114,1,1
409,1,0.64416078,0,0.1,2.828424994,1,1
410,1,0,0,0.1,2.828426674,1,1
411,0.988772836,8.797670236,0.013331683,0.1,2.828427069,1,1
412,1,4.715620944,0,0.1,2.828426257,1,1
413,1,9.868656161,0.026194674,0.1,2.82842532,1,1
414,1,19.07483789,0.062224687,0.1,2.828426859,1,1
415,0.858492324,13.99884967,0,0.1,2.828424867,1,1
416,0.925711391,13.98935985,0,0.1,2.828426574,1,1
417,0.978673042,14.31205164,0.02725773,0.1,2.828425844,1,1
418,0.953767788,22.12287746,0.035062757,0.1,2.828422388,1,1
419,0.939323312,11.68899403,0.02487602,0.1,2.828419302,1,1
420,0.875820324,15.69022319,0,0.1,2.828424149,1,1
421,1,13.25832021,0,0.1,2.828423708,1,1
422,1,10.90026331,0,0.1,2.828424756,1,1
423,0.850354146,13.55332155,0,0.1,2.828425303,1,1
424,1,0,0.007140136,0.1,2.828426293,1,1
425,1,0,0.000822434,0.1,2.828426821,1,1
426,0.879541768,0,0.030137606,0.1,2.828425663,1,1
427,0.912463159,5.504615494,0,0.1,2.828426946,1,1
428,0.902596361,0,0,0.1,2.82842671,1,1
429,1,7.636157719,0.018332991,0.1,2.828423159,1,1
430,1,3.24831807,0.009964736,0.1,2.828423107,1,1
431,1,0.207918805,0.012718911,0.1,2.828425568,1,1
432,1,1.191947322,0,0.1,2.828427093,1,1
433,1,0,0,0.1,2.828425844,1,1
434,0.925083713,6.450308118,0.012686493,0.1,2.828427105,1,1
435,1,4.792385644,0,0.1,2.828426973,1,1
436,0.912308611,16.53276886,0.046125826,0.1,2.828426118,1,1
437,1,19.19265086,0.021129403,0.1,2.828425906,1,1
438,0.880760792,9.84268684,0.012591399,0.1,2.828426492,1,1
439,0.983213785,10.62420933,0,0.1,2.828423652,1,1
440,1,19.62578704,0,0.1,2.828426194,1,1
441,1,20.68946669,0,0.1,2.828423197,1,1
442,1,12.63818962,0,0.1,2.828425442,1,1
443,1,5.859614448,0,0.1,2.828426508,1,1
444,1,0.179648693,0,0.1,2.828425917,1,1
445,0.998044165,0.644683441,0.019639321,0.1,2.82842711,1,1
446,1,4.045190138,0.019634352,0.1,2.828425572,1,1
447,1,0,0.003585131,0.1,2.828426258,1,1
448,1,0,0,0.1,2.828425685,1,1
449,0.94994197,8.869448159,0,0.1,2.828426633,1,1
450,0.865199822,7.562509396,0,0.1,2.82842626,1,1
451,0.930279169,16.61716153,0,0.1,2.828424319,1,1
452,0.981903961,12.65431708,0.044481794,0.1,2.828425763,1,1
453,1,0,0.006486047,0.1,2.828425225,1,1
454,1,0,0,0.1,2.828426039,1,1
455,1,0,0,0.1,2.828425611,1,1
456,1,0,0,0.1,2.828426955,1,1
457,1,0,0.006502308,0.1,2.828425919,1,1
458,1,1.5025452,0,0.1,2.828424273,1,1
459,0.854191159,2.904622722,0,0.1,2.828427084,1,1
460,1,0,0,0.1,2.828423604,1,1
461,1,6.889323463,0,0.1,2.828427056,1,1
462,0.916087547,8.355841872,0,0.1,2.828426841,1,1
463,0.967881454,0.889943414,0.004526417,0.1,2.828424037,1,1
464,1,4.479154348,0.004841092,0.1,2.828426823,1,1
465,0.933047868,8.06736648,0,0.1,2.828426869,1,1
466,1,10.92709332,0,0.1,2.828426946,1,1
467,1,9.493928183,0,0.1,2.828426675,1,1
468,1,0,0.013817724,0.1,2.828425826,1,1
469,0.967916338,8.116354179,0.013938875,0.1,2.828424987,1,1
470,1,6.445897941,0.019988237,0.1,2.828426785,1,1
471,0.877053366,18.10131519,0.01440946,0.1,2.828427024,1,1
472,1,19.38155881,0.055417545,0.1,2.828425394,1,1
473,1,15.91113794,0.015951843,0.1,2.828426683,1,1
474,1,11.40172603,0.036974158,0.1,2.82842545,1,1
475,1,24.51353493,0,0.1,2.828426966,1,1
476,1,27.89598968,0,0.1,2.828425356,1,1
477,0.951512027,30.00817852,0.032672803,0.1,2.828426715,1,1
478,0.969240701,4.827656097,0.02715349,0.1,2.828425752,1,1
479,1,0.896617517,0.044268357,0.1,2.828426863,1,1
480,0.908102077,4.163756257,0,0.1,2.828421942,1,1
481,0.935209665,0,0,0.1,2.828425606,1,1
482,1,0.048868668,0,0.1,2.828426971,1,1
483,1,1.826414795,0.023622405,0.1,2.828426442,1,1
484,1,7.025949877,0,0.1,2.828425838,1,1
485,1,0.458704785,0,0.1,2.828425902,1,1
486,0.905765206,0,0,0.1,2.828427004,1,1
487,1,0,0,0.1,2.828427099,1,1
488,1,0,0.03212259,0.1,2.82842686,1,1
489,0.980527154,0,0.00504344,0.1,2.828426912,1,1
490,0.980782979,5.118528229,0.03295134,0.1,2.828426735,1,1
491,1,7.432035101,0.038436859,0.1,2.828426953,1,1
492,0.953146772,3.755748535,0.000552768,0.1,2.828424826,1,1
493,1,9.296971856,0.02310438,0.1,2.828426269,1,1
